task_id,bloque,subbloque,tarea,tipo,prioridad,estado,dependencia,hipotesis,entregable,fecha_objetivo,notas
T-001,B0,Repositorio base,Cerrar estructura canónica inicial del sistema operativo,arquitectura,critica,hecho,,HG,ENT-001,2026-03-23,Base habilitadora para el resto del proyecto
T-002,B0,README operativo,Dejar README_INICIO orientado a retoma en menos de 3 minutos,documentacion,alta,hecho,T-001,HG,ENT-001,2026-03-23,Debe resistir semanas de alta carga
T-003,B0,Dashboard base,Implementar generador de dashboard HTML estático,automatizacion,critica,hecho,T-001,HG,ENT-002,2026-03-23,No se edita dashboard manualmente
T-004,B0,Validadores,Implementar validaciones mínimas de consistencia entre YAML y CSV,automatizacion,critica,hecho,T-001,HG,ENT-002,2026-03-23,Validaciones pedidas por criterio del sistema
T-005,B0,Plantillas,Crear plantillas operativas de decisión bitácora y resumen semanal,documentacion,alta,hecho,T-001,HG,ENT-001,2026-03-23,Reducir fricción de uso diario
T-006,B0,Consolidación,Exportar hoja maestra consolidada desde fuentes canónicas,automatizacion,media,hecho,T-003,HG,ENT-002,2026-03-23,Útil para vistas derivadas y control cruzado
T-007,B1,Alcance del caso de estudio,Delimitar formalmente el caso de estudio en la Zona Metropolitana de Pachuca,investigacion,critica,pendiente,T-001,H6,ENT-003,2026-03-30,Debe dejar supuestos espaciales y funcionales claros
T-008,B1,Intermitencia urbana,Definir taxonomía inicial de intermitencia urbana relevante para la tesis,investigacion,alta,pendiente,T-007,H6,ENT-003,2026-04-02,Separar conectividad energía y disponibilidad de nodos
T-009,B1,Variables críticas,Identificar variables críticas y no críticas por escenario operativo,analisis,alta,pendiente,T-007,H3|H4,ENT-003,2026-04-04,Base para priorización y control degradado
T-010,B2,Línea base,Definir arquitectura base de comparación contra la propuesta,diseño,critica,pendiente,T-007,HG|H2,ENT-004,2026-04-05,Sin línea base clara no hay contraste riguroso
T-011,B2,Arquitectura propuesta,Formalizar componentes flujos y modos de degradación de la arquitectura propuesta,diseño,critica,pendiente,T-010,HG|H1|H2|H3|H4,ENT-004,2026-04-08,Incluir gateway persistente y políticas adaptativas
T-012,B2,Hipótesis operables,Refinar hipótesis en variables métricas y criterios de soporte ejecutables,analisis,alta,pendiente,T-011,H1|H2|H3|H4|H5|H6,ENT-004,2026-04-10,Debe cerrar ambigüedades de medición
