tipo_registro,id,nombre,estado,prioridad,referencia_1,referencia_2,notas
bloque,B0,Gobierno del sistema de tesis y base operativa,activo,critica,,ENT-001|ENT-002|ENT-013|ENT-014|ENT-015,"Define estructura canónica, políticas operativas, flujos de actualización, dashboard inicial y mecanismos de validación del repositorio."
bloque,B1,Delimitación del problema y contexto de Pachuca,no_iniciado,alta,H6,ENT-003,"Acota el problema, define el caso de estudio, fija supuestos de intermitencia urbana y establece alcance espacial, funcional y metodológico."
bloque,B2,Diseño de arquitectura y formulación de hipótesis,no_iniciado,critica,HG|H1|H2|H3,ENT-004,"Formaliza la arquitectura propuesta, la línea base de comparación, las hipótesis específicas y el mapa de decisiones técnicas."
bloque,B3,Modelo de control y métricas de desempeño,no_iniciado,alta,HG|H3|H4,ENT-005,"Traduce objetivos de resiliencia y control a métricas medibles, escenarios de carga y restricciones operativas."
bloque,B4,Simulación y escenarios de intermitencia,no_iniciado,critica,HG|H1|H2|H3|H4|H5|H6,ENT-006,"Construye el entorno de simulación, implementa escenarios de intermitencia y compara línea base contra arquitectura propuesta."
bloque,B5,Implementación de prototipo y canal de continuidad,no_iniciado,alta,HG|H1|H2|H3|H4|H5,ENT-007,"Materializa nodos, gateway y lógica de priorización/control degradable para pruebas controladas."
bloque,B6,Validación experimental,no_iniciado,critica,HG|H1|H2|H3|H4|H5|H6,ENT-008,"Ejecuta campañas controladas y, cuando aplique, pruebas contextualizadas para contrastar hipótesis y consistencia con simulación."
bloque,B7,Análisis integrado y discusión,no_iniciado,alta,HG|H2|H4|H5|H6,ENT-009,"Integra evidencia teórica, simulada y experimental; consolida hallazgos, limitaciones y aportaciones."
bloque,B8,Redacción de tesis y ensamblaje documental,no_iniciado,alta,HG,ENT-010,"Estructura capítulos, integra figuras, tablas, anexos y asegura consistencia narrativa con evidencia y decisiones registradas."
bloque,B9,Reproducibilidad y versión sanitizada pública,no_iniciado,media,H5,ENT-011,"Prepara exportes, documentación y vistas públicas sanitizadas cuando sea pertinente, sin comprometer el carácter privado del repositorio base."
bloque,B10,"Cierre, defensa y transferencia",no_iniciado,media,HG,ENT-012,"Consolida versión final, materiales de defensa, lecciones aprendidas y transferencia ordenada del sistema operativo de tesis."
hipotesis,HG,Superioridad integrada de arquitectura resiliente,activa,critica,B2|B3|B4|B5|B6|B7,porcentaje_de_muestras_utiles_entregadas|latencia_p95_de_eventos_criticos|error_integral_de_control|tiempo_medio_de_recuperacion,"Una arquitectura IoT que combine tolerancia a intermitencia, priorización contextual y lazo de control degradable puede mantener utilidad operativa superior a un esquema convencional en escenarios urbanos intermitentes representativos de Pachuca."
hipotesis,H1,Buffer adaptativo reduce pérdida útil,activa,alta,B2|B4|B5|B6,delivery_ratio_util|age_of_information_p95|reintentos_por_muestra,El uso de almacenamiento local con políticas adaptativas de cola y reintento reduce la pérdida útil de telemetría frente a cortes intermitentes respecto de un envío oportunista sin persistencia.
hipotesis,H2,Topología híbrida mejora resiliencia,activa,alta,B2|B4|B5|B6|B7,porcentaje_de_funciones_preservadas|tiempo_medio_de_recuperacion|uptime_operativo_util,Una topología híbrida con nodos terminales y gateway con capacidades locales de continuidad ofrece mayor resiliencia de servicio que una topología exclusivamente centralizada ante fallas parciales de enlace.
