priority_code	canonical_name	role	defense_components	verification_requirement	byte_count	sha256	justification
P0	p0__project_context_human__v08.md	canonical_context	C1,C2,C3,C4,C6	interna	107019	bd051c019d1aea90df01a763868d521dc27e8a7ed2fb9e0816d25c5666050610	Archivo central para continuidad semántica del proyecto; evita reconstrucción conversacional.
P0	p0__project_registry__v08.sqlite	registry	C1,C2,C3,C4,C5,C6	interna	1359872	3c15e1440698613e1b9b421e87a639512b11342f4c89704dcce0419b9ac57c66	Registro estructurado maestro para ingestión, consultas y trazabilidad.
P0	p0__current_design_draft__v01.docx	draft_current	C1,C2,C3	manual_pre_citation	79361	0a82a6083c0990fbe6e8a2618c7d47a4e39a19539af9fd9ee7a3e51b8769043e	Borrador más cercano a la formulación vigente; útil para rescate selectivo y comparación.
P0	p0__current_uiux_draft__v01.pdf	draft_current	C1,C3,C5	manual_pre_citation	685161	299db05b0eb27bcfcd6c2ce2597535f2452f5a8ff2851025d81f714737cbc519	Último avance visual/narrativo conocido; evidencia del máximo nivel narrativo alcanzado.
P0	p0__current_overleaf_main__v01.tex	draft_current	C3,C6	manual_pre_citation	163124	54629145e37b1d7584eef6768a56929201f5ddd7bae12cca6c4ee5fa305f7229	Fuente LaTeX del último Overleaf visible; esencial para auditar estructura y reinicio controlado.
P0	p0__current_bibliography__v01.bib	bibliography	C1,C2,C3,C4,C5	manual_pre_citation	17203	b4d9c5a6afd3e4e25f1710c760e13b64bfb8e2f8730f937aa7136c5dea805f81	Bibliografía principal del último borrador visible; necesaria para depuración APA.
P0	p0__current_abbrev_bibliography__v01.bib	bibliography	C1,C2,C3,C4,C5	manual_pre_citation	17395	9165aa1d94dc2f15f76397568b3b1f00df3f911e1501e7262d7c70dea48454a4	Abreviaturas bibliográficas activas del borrador visible.
P0	p0__current_bibliography_style__v01.bst	bibliography	C6	manual_pre_citation	59284	dfdb22e25fd7de8055ac91cf439914b5171a0585e16919eb6c1fc27494e7d463	Estilo bibliográfico histórico visible; útil para diagnóstico de inconsistencias.
P0	p0__firmware_node_sensor_v_a__v01.ino	implementation	C3,C4,C5	manual_pre_citation	3698	cb0164e367f7de1ee90420dee2fc63fbdeac9e4db4fb8d9d1c599e5275319ec7	Implementación visible concreta del nodo; prueba de trabajo técnico real.
P0	p0__stats_data_science_audit__v01.md	audit	C2,C4,C5	interna	64026	a4d90862e77fc32ab25edda9a5ac6d2a7aa0c022532cf97c971698ab17fbe6a7	Consolida capacidad cuantitativa y posibles métodos reutilizables para la tesis.
P1	p1__antecedent_cahuitl__v01.pdf	direct_antecedent	C1,C3	manual_pre_citation	31938612	e7779ccf6bcb03c63c65da939d825b4313287dedf57c75245af50fa87ebc1ee5	Antecedente técnico directo: Orange Pi 5 Plus + ESP32 + backend IoT y vínculo con movilidad.
P1	p1__antecedent_lora_transport_public__v01.pdf	direct_antecedent	C1,C3	manual_pre_citation	651739	b6fa6151be702d5b490dd70baebf98754416b094fc9e9585b20d2fdd01290039	Puente claro hacia LoRa aplicado a transporte público.
P1	p1__antecedent_tesis_iot_2025__v01.pdf	historical_thesis	C1,C2,C3	manual_pre_citation	375930	989e5c96516664b7aac5db64884d9bd6209dc769b395f2c9a773c5b159cf1dac	Muestra fase sobreambiciosa útil para podar y justificar enfoque actual.
P1	p1__antecedent_project_proposal_xantli__v01.pdf	historical_origin	C1	manual_pre_citation	1180982	946fb59a84053678d69e88c77a1a5fe5a17ecef627ecc2364fc0e60f93d48a74	Raíz remota del proyecto y evidencia de continuidad temática.
P1	p1__business_case_atzin_track__v01.pdf	business_support	C1,C5	manual_pre_citation	403560	9bdcd7aef378bfeba0ea6d0ee297231d84a8cd7178ab9384dfce2b67dea09459	Justifica pertinencia, viabilidad y despliegue; no sustituye evidencia científica.
